onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	CS	BlueLeft	1	0.664
14	1	CNS	BlueLeft	1	0.68
18.5	1	CNS	BlueRight	1	0.603
23	1	ICS	RedRight	1	0.654
27.5	1	ICNS	RedLeft	1	0.664
33	1	CS	BlueRight	1	0.656
38.5	1	ICS	RedLeft	1	0.736
41	1	ICNS	RedRight	1	0.689
43.5	1	ICNS	RedLeft	1	0.657
48	1	CS	BlueRight	1	0.556
52.5	1	CNS	BlueRight	1	0.582
56	1	ICS	RedRight	1	0.587
58.5	1	ICNS	RedLeft	1	0.948
61	1	ICNS	RedLeft	1	0.605
66.5	1	CS	BlueRight	1	0.589
70	1	ICS	RedLeft	1	0.818
73.5	1	CS	BlueLeft	1	0.664
77	1	CNS	BlueRight	1	0.654
80.5	1	ICS	RedLeft	1	0.707
84	1	ICNS	RedLeft	1	0.681
89.5	1	CS	BlueRight	1	0.641
95	1	ICS	RedRight	1	0.673
98.5	1	ICNS	RedRight	1	0.894
104	1	CS	BlueRight	1	0.685
106.5	1	CNS	BlueLeft	1	0.878
110	1	ICS	RedLeft	1	0.595
112.5	1	ICNS	RedLeft	1	0.948
116	1	CS	BlueLeft	1	0.57
118.5	1	CNS	BlueLeft	1	0.555
123	1	CNS	BlueLeft	1	0.541
128.5	1	ICS	RedRight	1	0.597
134	1	CS	BlueLeft	1	0.605
136.5	1	CNS	BlueRight	1	0.653
141	1	ICS	RedLeft	1	0.656
146.5	1	ICNS	RedRight	1	0.52
151	1	ICNS	RedLeft	1	0.545
155.5	1	CS	BlueLeft	1	0.732
158	1	CNS	BlueLeft	1	1.05
160.5	1	CNS	BlueRight	1	0.573
165	1	ICS	RedRight	1	0.512
168.5	1	ICNS	RedRight	1	0.558
172	1	CS	BlueRight	1	0.492
174.5	1	ICS	RedRight	1	0.756
179	1	CS	BlueLeft	1	0.551
183.5	1	CNS	BlueLeft	1	0.562
188	1	CNS	BlueRight	1	0.573
190.5	1	ICS	RedRight	1	0.549
195	1	ICNS	RedLeft	1	0.648
200.5	1	CS	BlueRight	1	0.559
203	1	CNS	BlueRight	1	0.551
206.5	1	ICS	RedRight	1	0.517
210	1	CS	BlueLeft	1	0.611
214.5	1	CNS	BlueLeft	1	0.509
218	1	CNS	BlueLeft	1	0.451
223.5	1	ICS	RedLeft	1	0.603
227	1	ICNS	RedRight	1	0.704
232.5	1	CS	BlueLeft	1	0.817
237	1	CNS	BlueLeft	1	0.491
240.5	1	ICS	RedLeft	1	0.553
244	1	ICNS	RedRight	1	0.663
249.5	1	CS	BlueRight	1	0.562
253	1	CNS	BlueLeft	1	0.643
257.5	1	ICS	RedLeft	1	0.606
263	1	ICNS	RedRight	1	0.501
265.5	1	CS	BlueRight	1	0.59
270	1	ICS	RedLeft	1	0.905
273.5	1	ICNS	RedRight	1	1.115
279	1	ICNS	RedLeft	1	0.534
283.5	1	CS	BlueRight	1	0.553
289	1	CNS	BlueRight	1	0.513
294.5	1	ICS	RedRight	1	0.481
297	1	ICNS	RedRight	1	0.68
299.5	1	CS	BlueLeft	1	0.689
302	1	CNS	BlueRight	1	0.698
304.5	1	CNS	BlueRight	1	0.514
310	1	ICS	RedRight	1	0.57
313.5	1	ICNS	RedLeft	1	0.872
316	1	ICNS	RedRight	1	0.552
320.5	1	CS	BlueLeft	1	0.595
326	1	ICS	RedLeft	1	0.603
